Price,Close,High,Low,Open,Volume
Ticker,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS
Date,,,,,
2002-07-01,-0.012172997929155827,-0.012522166256055702,-0.011919678394784805,-0.01218669335227888,1080397
2002-07-02,-0.012268847785890102,-0.012426319620023269,-0.012118228989322348,-0.012385234408486991,1016147
2002-07-03,-0.012268847785890102,-0.012392086381089297,-0.012193537855124673,-0.012255153425353412,980394
2002-07-04,-0.012337311170995235,-0.012522164209163812,-0.012323615750110857,-0.012323615750110857,972747
2002-07-05,-0.012309921905398369,-0.01240577921423523,-0.012262002835645859,-0.01240577921423523,974496
2002-07-08,-0.012850797735154629,-0.012994574141515362,-0.012193537662384278,-0.012460553726959287,1061686
2002-07-09,-0.012515321373939514,-0.012871333111859803,-0.012433159494220851,-0.012802865588736114,1024719
2002-07-10,-0.012501628138124943,-0.012597476936456894,-0.012392084980803743,-0.012597476936456894,946638
2002-07-11,-0.012296236120164394,-0.012946644097599701,-0.012262002888237089,-0.012946644097599701,968220
2002-07-12,-0.012392085045576096,-0.012535862503677463,-0.012323618575086886,-0.012433161732980659,967763
2002-07-15,-0.012138765305280685,-0.012316774930888208,-0.012090836646759548,-0.012255151913519759,974157
2002-07-16,-0.012248308397829533,-0.012337313742652347,-0.012186693900484977,-0.012186693900484977,959138
2002-07-17,-0.012152460403740406,-0.012255151585419906,-0.01211822716994606,-0.012255151585419906,955902
2002-07-18,-0.012296236120164394,-0.012481089182794525,-0.012193535359419598,-0.012481089182794525,958081
2002-07-19,-0.012248308397829533,-0.012392084787979202,-0.012125069818473729,-0.012392084787979202,1022018
2002-07-22,-0.011960756033658981,-0.012303080936158025,-0.011878602657699381,-0.012049760316615392,959229
2002-07-23,-0.011960756033658981,-0.012179842352514606,-0.011638968942668334,-0.011638968942668334,950108
2002-07-24,-0.01164582185447216,-0.012001832625250657,-0.01164582185447216,-0.011844370377842698,1004507
2002-07-25,-0.011755364015698433,-0.012166146867902206,-0.011570510933484487,-0.01198129378568826,929688
2002-07-26,-0.011392501182854176,-0.011467811105386642,-0.011310339288468469,-0.011467811105386642,934529
2002-07-29,-0.011111796833574772,-0.011570508238643583,-0.010974863923251024,-0.011570508238643583,955236
2002-07-30,-0.010988560505211353,-0.011570510582495077,-0.01095432727069575,-0.011570510582495077,972108
2002-07-31,-0.010885859839618206,-0.011159718236799817,-0.01068046790541702,-0.011159718236799817,961513
2002-08-01,-0.011015942320227623,-0.011262419491169691,-0.010954327819825688,-0.010954327819825688,953331
2002-08-02,-0.010906399227678776,-0.010954327888630207,-0.010728398112749204,-0.010954327888630207,939461
2002-08-05,-0.010885859839618206,-0.011502043096961855,-0.010694163327938848,-0.011502043096961855,982116
2002-08-06,-0.010735238902270794,-0.010954325171407129,-0.010687310253208075,-0.010954325171407129,971195
2002-08-07,-0.010933786630630493,-0.0110912488190269,-0.010851624759127737,-0.0110912488190269,966576
2002-08-08,-0.010769471526145935,-0.011159716458429073,-0.010714699429452742,-0.011159716458429073,971443
2002-08-09,-0.010851627215743065,-0.010920093682557135,-0.010748936035225407,-0.01081739398233603,918884
2002-08-12,-0.01089955773204565,-0.010947485331955503,-0.01081739582792501,-0.010892714279085452,489590
2002-08-13,-0.010858478024601936,-0.010947482292004516,-0.010817392824097908,-0.010913249062262894,384772
2002-08-14,-0.010748937726020813,-0.010926938853144528,-0.010632541519239116,-0.010926938853144528,482452
2002-08-15,-0.010748937726020813,-0.010748937726020813,-0.010748937726020813,-0.010748937726020813,0
2002-08-16,-0.01057776901870966,-0.010817394202699853,-0.010516154522136487,-0.01072154540705932,520671
2002-08-19,-0.01057092472910881,-0.010817393345500184,-0.010481920457416194,-0.010817393345500184,501059
2002-08-20,-0.01056408230215311,-0.010673625447297604,-0.01054353490865686,-0.010673625447297604,507936
