Price,Close,High,Low,Open,Volume
Ticker,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS
Date,,,,,
2002-08-12,443.8223571777344,450.03822553877086,440.5920784378817,440.5920784378817,50600
2002-08-13,437.900146484375,444.89910330099434,435.84450108859784,444.89910330099434,25600
2002-08-14,425.615234375,439.5152842675985,407.21237918779724,407.21237918779724,105200
2002-08-15,425.615234375,425.615234375,425.615234375,425.615234375,0
2002-08-16,418.6163330078125,431.68433413126945,403.78636695952076,403.78636695952076,143100
2002-08-19,420.5740661621094,422.28709915696385,416.0712306010499,420.9166787356652,68300
2002-08-20,428.40509033203125,433.49525765831663,416.02231447574997,422.9723402921653,53900
2002-08-21,425.76214599609375,435.59983825929623,424.881133660824,435.59983825929623,33600
2002-08-22,419.10577392578125,429.481866007908,418.27372331049696,421.01459416832023,123100
2002-08-23,410.9811096191406,419.8399257942604,409.65962099618065,417.9800673007626,170900
2002-08-26,408.9254455566406,416.02229649688155,405.7440985834292,410.63847854221603,136900
2002-08-27,408.3870544433594,411.1278951283794,407.4571103504474,411.1278951283794,158200
2002-08-28,409.072265625,430.7054307341884,404.27577930277226,430.7054307341884,70400
2002-08-29,409.2680358886719,411.078962349602,394.2422842571123,394.2422842571123,77100
2002-08-30,409.6106872558594,411.12793315523817,400.36029681069624,409.1701810925942,54900
2002-09-02,407.0166015625,414.9455026054937,399.91975103830663,411.1278924360294,128100
2002-09-03,407.3102722167969,410.14900638184815,403.88420653102963,410.14900638184815,109700
2002-09-04,409.4148864746094,411.12791947241107,404.76522548057613,406.2335394786919,66200
2002-09-05,410.8343200683594,416.02235156219893,409.4638696001646,411.12797095558483,82800
2002-09-06,410.29583740234375,411.12788791198824,407.31027778453284,411.12788791198824,43500
2002-09-09,411.030029296875,411.47053544912234,408.1423630004566,411.12792287214387,52200
2002-09-10,411.030029296875,411.030029296875,411.030029296875,411.030029296875,0
2002-09-11,410.8832092285156,414.0645562922266,410.1490522138131,411.12792823341647,33700
2002-09-12,411.22589111328125,412.1068737048099,408.436088012665,411.12799752023795,35100
2002-09-13,411.5195617675781,416.02239840727856,409.2191966488574,409.2191966488574,80300
2002-09-16,411.07904052734375,414.79875785212647,408.43606304141537,411.12797238440857,13100
2002-09-17,404.8141174316406,413.0856307549306,398.64721119655326,413.0856307549306,54100
2002-09-18,392.87188720703125,407.21241458252814,387.3412438008679,401.3391586029724,63100
2002-09-19,375.79052734375,393.50819065894996,367.6169059661738,392.5293145627834,188200
2002-09-20,369.1341857910156,374.4201107923216,367.07853999247214,367.07853999247214,165500
2002-09-23,363.8482666015625,373.4412406507592,358.51337978595166,367.0785458559232,106400
2002-09-24,372.804931640625,375.74155964902235,363.0651034636039,364.14187304126796,110800
2002-09-25,376.3778381347656,379.21657268187306,370.9940199039692,374.7137369142581,45200
2002-09-26,374.2243347167969,382.7405690462822,371.9729315539315,371.9729315539315,30700
2002-09-27,390.5226135253906,393.5081735396427,371.9729003608563,371.9729003608563,123900
2002-09-30,381.4189758300781,396.4447263720986,379.8527684673573,386.7048995404553,86100
2002-10-01,371.2386474609375,381.7615623197512,360.37312009725315,376.9161151565253,137700
2002-10-02,371.2386474609375,371.2386474609375,371.2386474609375,371.2386474609375,0
2002-10-03,360.1774597167969,376.86728465969856,358.46442660470734,376.86728465969856,73400
2002-10-04,358.3665466308594,366.8827507877079,353.17848537064197,359.2964610032607,76300
2002-10-07,359.98162841796875,364.6312891521233,355.429861252802,357.28971957187923,99300
2002-10-08,376.62255859375,379.7549738892493,359.24750878208255,359.24750878208255,103800
2002-10-09,383.91522216796875,387.63493943560377,377.99300378061236,381.27224472264567,79900
2002-10-10,397.1789245605469,400.3602714609086,384.69825595143544,384.69825595143544,181900
2002-10-11,391.5014953613281,397.22789646101415,372.0707994361706,372.0707994361706,139700
2002-10-14,390.5226135253906,397.4236777539675,387.8307043780423,392.5292974860615,46600
2002-10-15,390.5226135253906,390.5226135253906,390.5226135253906,390.5226135253906,0
2002-10-16,389.3478698730469,393.50809224126925,386.65596128184416,391.06090261290313,51800
2002-10-17,386.9007568359375,396.15114741154594,382.98525265543464,386.6560378246561,76200
2002-10-18,393.7040100097656,410.1491178204592,385.6772134158972,385.6772134158972,55600
2002-10-21,395.8573913574219,401.290170297971,394.48697112957075,396.44472284733536,79900
2002-10-22,378.5314025878906,401.3392039355442,373.2454477108849,401.3392039355442,154600
2002-10-23,393.16558837890625,396.542722948567,374.07750400222733,374.07750400222733,380500
2002-10-24,400.3113708496094,405.15678935220694,386.6560380625342,392.4314007577438,287400
2002-10-25,402.17120361328125,409.0722673446587,393.2144943429006,401.24125948020804,97600
2002-10-28,398.50048828125,406.23360392352146,396.4937742417255,403.29697546142376,83500
2002-10-29,411.71527099609375,417.7842845586275,397.423674747343,399.3814268396944,272900
2002-10-30,412.8409423828125,426.30048703666824,392.5292659051756,412.98776780445155,272300
2002-10-31,414.7987060546875,416.02230105779864,404.2757890279314,411.12792104535396,99000
2002-11-01,432.7121276855469,436.5786998689826,414.55398967379847,416.02230368681074,448800
2002-11-04,438.83001708984375,441.47299374658525,429.48176498074116,431.684235570386,55500
2002-11-05,426.8388671875,438.53644731849124,424.342745340549,438.53644731849124,122300
2002-11-06,426.8388671875,426.8388671875,426.8388671875,426.8388671875,0
2002-11-07,420.133544921875,424.63635012809146,417.0011301173647,423.9511549272384,141900
2002-11-08,423.85333251953125,428.2582747743532,417.5395700051159,417.5395700051159,127700
2002-11-11,426.7900085449219,430.7055132104716,421.01464513782196,430.7055132104716,50000
2002-11-12,426.64306640625,429.7265195124497,422.92332006758284,422.92332006758284,41400
2002-11-13,433.7399597167969,439.4174285433093,424.93007575453123,424.93007575453123,306000
2002-11-14,430.0691833496094,436.57870287757106,426.202611139528,436.57870287757106,133600
2002-11-15,443.23504638671875,450.28296562391535,429.7265693671714,434.13151142218794,376500
2002-11-18,442.15826416015625,446.367418658867,438.8790238598981,444.45859866938054,104300
2002-11-19,442.15826416015625,442.15826416015625,442.15826416015625,442.15826416015625,0
2002-11-20,443.2840270996094,446.36748069561884,438.63436584236337,441.47310042483355,98400
2002-11-21,467.56011962890625,470.34992222857227,393.36133011100907,393.36133011100907,259400
2002-11-22,463.9383239746094,474.754892567439,459.0928754930493,461.63795924222296,131600
2002-11-25,467.36431884765625,473.7759441593211,455.1773017233147,455.1773017233147,62500
2002-11-26,463.0083312988281,484.54360252202946,458.65232130678385,469.8604630516649,231600
2002-11-27,456.3031005859375,465.2598111726063,453.26857861792126,463.0084080298777,121300
2002-11-28,461.2953186035156,466.8259620721346,457.1350955710171,461.7358247561267,97700
2002-11-29,461.2953186035156,461.2953186035156,461.2953186035156,461.2953186035156,0
2002-12-02,467.90277099609375,489.43804497499343,465.94501881619374,474.7549036257436,173800
2002-12-03,469.3221740722656,474.559137487216,462.61686658439754,474.559137487216,173700
2002-12-04,470.1541442871094,476.71262562371055,466.9238653439629,474.754873567761,340900
2002-12-05,462.61676025390625,471.81818781767487,458.60336305514664,471.81818781767487,146300
2002-12-06,459.6312561035156,469.6647360258669,454.44322477576355,466.92389492307854,174800
2002-12-09,464.3299255371094,470.8394462097053,460.2675953333789,467.9028176470668,116800
2002-12-10,467.6580810546875,513.9099791809753,456.2541798722098,456.2541798722098,54500
2002-12-11,455.1773376464844,472.69921198130174,453.70902365407636,472.69921198130174,242700
2002-12-12,459.9249267578125,466.3855147844768,450.38088508996856,455.17737185101754,271300
2002-12-13,465.8960266113281,466.9238344234682,455.66676084722104,455.66676084722104,73300
2002-12-16,470.20306396484375,553.0649063484884,452.2406844831888,553.0649063484884,323300
2002-12-17,470.5946350097656,475.53794683968954,450.2829580956676,450.2829580956676,143300
2002-12-18,473.4333801269531,475.14641315843807,460.0717284559557,470.59464564936314,99500
2002-12-19,483.2221374511719,485.47357020300205,471.27986802600725,476.7126179445834,222400
2002-12-20,479.1109619140625,485.2289380858483,475.7827589782666,481.6070842429789,71700
2002-12-23,480.5302429199219,481.55808068751384,474.7548802481889,480.13869847780757,55100
2002-12-24,477.9851379394531,483.0753050789176,476.76154294178616,481.60699108171724,100300
2002-12-25,477.9851379394531,477.9851379394531,477.9851379394531,477.9851379394531,0
