Price,Close,High,Low,Open,Volume
Ticker,QUICKHEAL.NS,QUICKHEAL.NS,QUICKHEAL.NS,QUICKHEAL.NS,QUICKHEAL.NS
Date,,,,,
2016-02-18,221.7266845703125,288.240315733401,214.52067667697747,266.4039281778404,22072111
2016-02-19,226.39968872070312,238.27866284978646,211.0705278587166,219.23734256427235,9859643
2016-02-22,219.76138305664062,230.8542505970331,217.49039369494236,226.8800392058686,1696047
2016-02-23,190.93736267089844,222.07604347498318,182.81422449178478,220.72218489048555,7412889
2016-02-24,185.12890625,197.3136088421381,180.54326448634455,190.41331513845398,5147946
2016-02-25,185.74032592773438,190.413318666526,182.24650356688068,187.35622410077903,1825688
2016-02-26,172.02706909179688,188.4043607670988,159.88604219432267,187.79294454346237,5229230
2016-02-29,163.5108642578125,171.7650159321204,158.0954429120356,169.4503642261597,2188579
2016-03-01,170.76055908203125,175.47721369483548,160.32276798274532,162.68109528914744,2915016
2016-03-02,172.2891082763672,175.5645666086175,169.31936471960984,172.6821606106624,1366882
2016-03-03,206.74693298339844,206.74693298339844,171.8960606956465,173.73030941570616,5243270
2016-03-04,208.66851806640625,222.2070786049668,206.1355023935669,210.24074066549122,3892769
2016-03-08,218.93162536621094,227.53516775049832,196.61484702265497,207.7077296946285,4529827
2016-03-09,208.4938201904297,220.32914459751603,207.09629942062804,214.25863168349602,1477235
2016-03-10,208.013427734375,217.40307461850009,206.17917913047935,207.75140173944249,1185890
2016-03-11,211.46359252929688,217.0537026796349,202.81637464714643,208.31914723981055,1601972
2016-03-14,208.31915283203125,214.8700695877555,206.57224169717145,211.90032598964353,689973
2016-03-15,205.21835327148438,211.7255936437098,204.5632616904978,209.62930591570174,432483
2016-03-16,201.9429473876953,207.00899291792862,201.02581627248375,206.0481863538259,361690
2016-03-17,205.742431640625,210.50276112497212,203.12206531956727,203.51511760215146,689446
2016-03-18,191.89816284179688,206.39752888037594,188.84106871673634,205.2620341112075,900272
2016-03-21,184.8231964111328,193.95080408008465,182.55220669053173,193.0336731033852,1373422
2016-03-22,191.19940185546875,196.44013480713485,184.8231874265735,185.5219411578305,1123135
2016-03-23,196.6584930419922,201.3314851210707,190.41329178478705,190.85001951823838,1047181
2016-03-28,189.67083740234375,198.62375537617888,188.6663690095988,196.78950700753091,701827
2016-03-29,187.09417724609375,191.98553368604516,186.00235780216477,189.6708684681913,425861
2016-03-30,189.58351135253906,193.64507393382667,188.92841975375893,190.41329137875266,323080
2016-03-31,190.1512451171875,192.11651984163038,186.91946268034476,190.89368756645925,367950
2016-04-01,196.17811584472656,198.79848241436474,189.14679621728945,190.41330406037318,781281
