Price,Close,High,Low,Open,Volume
Ticker,EMBASSY.NS,EMBASSY.NS,EMBASSY.NS,EMBASSY.NS,EMBASSY.NS
Date,,,,,
2019-04-01,209.67637634277344,216.42635640668354,205.23189740926946,205.23189740926946,2903200
2019-04-02,208.62353515625,216.75950759670107,207.89722996611962,211.89525361931425,2668800
2019-04-03,214.61386108398438,216.4929367340323,210.56254014504756,212.09510746147194,244000
2019-04-04,218.55856323242188,220.89074302301174,214.6138387535125,216.4262764327421,793200
2019-04-05,218.96507263183594,221.12401913652315,218.55861667260407,221.12401913652315,147600
2019-04-08,214.10748291015625,220.55762239465156,212.62821345108824,218.55861071131636,105600
2019-04-09,217.52577209472656,218.55858654960582,214.22739504786057,214.56723350365783,56800
2019-04-10,218.5452880859375,218.55860750969853,217.55910168267246,217.89894017106073,132400
2019-04-11,219.07168579101562,219.22495067591746,216.59958033889532,218.53862413613749,268400
2019-04-12,224.47564697265625,227.0210595917358,217.392480299639,219.89124444101415,239200
2019-04-15,225.92156982421875,226.05484536889773,223.8892499453195,225.88826110554555,90800
2019-04-16,225.77505493164062,232.68498970753564,223.89599922920374,231.19905023083876,146000
2019-04-18,225.73500061035156,229.21995078739712,223.88925425745765,228.2537539073482,125200
2019-04-22,221.95028686523438,225.0887298268385,218.26544244203453,220.37107073172024,43600
2019-04-23,220.03125,221.89033689481116,219.89132485071374,221.88366701413017,21600
2019-04-24,219.7646942138672,220.55763719493294,217.89228810496394,220.55763719493294,28400
2019-04-25,220.5242919921875,221.8836051620513,218.5252805053328,219.2315962705551,43200
2019-04-26,218.08555603027344,221.53050872724427,217.8923125058102,220.5576618942605,51200
2019-04-30,213.5077667236328,219.8912679175997,210.5625474604894,216.6328693685677,751600
2019-05-02,214.22071838378906,216.4196431237153,213.56105112930896,213.89421969581335,1282800
2019-05-03,215.26023864746094,219.82465283813508,214.27407254024885,219.82465283813508,1058000
2019-05-06,216.58627319335938,217.13265430333507,213.90093479305267,213.96090270750125,881200
2019-05-07,219.5448455810547,221.69045274142172,216.62628462567935,218.53866963785373,582800
2019-05-08,225.71507263183594,229.51987295492663,217.97890695187203,221.15732830073335,952000
2019-05-09,223.04306030273438,223.5228239044925,221.89028961566345,223.4628356611497,345200
2019-05-10,223.95596313476562,225.8883371733786,221.22397622879558,221.59045359758426,70400
2019-05-13,221.1373291015625,222.55663062833088,220.59759758222776,221.8902934108808,125600
2019-05-14,226.24148559570312,228.88684529062797,216.55960617017203,216.55960617017203,928800
